date_key,date,date_id,day_name,day_name_abbrev,day_of_month,day_of_week,day_of_year,holiday_name,is_holiday,is_weekday,is_weekend,month_abbrev,month_end_flag,month_name,month_number,quarter,quarter_name,quarter_short_name,season,week_begin_date,week_begin_date_id,week_num_in_month,week_num_in_year,year,year_and_month,year_and_month_abbrev,year_and_quarter
244,2020-09-01,20200901,Tuesday,Tue,1,3,245,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-08-29,20200829,1,35,2020,2020/09,2020/Sep,2020/Q3
245,2020-09-02,20200902,Wednesday,Wed,2,4,246,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-08-29,20200829,1,35,2020,2020/09,2020/Sep,2020/Q3
246,2020-09-03,20200903,Thursday,Thu,3,5,247,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-08-29,20200829,1,35,2020,2020/09,2020/Sep,2020/Q3
247,2020-09-04,20200904,Friday,Fri,4,6,248,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-08-29,20200829,1,35,2020,2020/09,2020/Sep,2020/Q3
249,2020-09-06,20200906,Sunday,Sun,6,1,250,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Summer,2020-09-06,20200906,2,36,2020,2020/09,2020/Sep,2020/Q3
251,2020-09-08,20200908,Tuesday,Tue,8,3,252,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-05,20200905,2,36,2020,2020/09,2020/Sep,2020/Q3
252,2020-09-09,20200909,Wednesday,Wed,9,4,253,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-05,20200905,2,36,2020,2020/09,2020/Sep,2020/Q3
253,2020-09-10,20200910,Thursday,Thu,10,5,254,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-05,20200905,2,36,2020,2020/09,2020/Sep,2020/Q3
254,2020-09-11,20200911,Friday,Fri,11,6,255,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-05,20200905,2,36,2020,2020/09,2020/Sep,2020/Q3
255,2020-09-12,20200912,Saturday,Sat,12,7,256,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Summer,2020-09-05,20200905,2,36,2020,2020/09,2020/Sep,2020/Q3
256,2020-09-13,20200913,Sunday,Sun,13,1,257,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Summer,2020-09-13,20200913,3,37,2020,2020/09,2020/Sep,2020/Q3
257,2020-09-14,20200914,Monday,Mon,14,2,258,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
258,2020-09-15,20200915,Tuesday,Tue,15,3,259,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
259,2020-09-16,20200916,Wednesday,Wed,16,4,260,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
260,2020-09-17,20200917,Thursday,Thu,17,5,261,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
261,2020-09-18,20200918,Friday,Fri,18,6,262,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
262,2020-09-19,20200919,Saturday,Sat,19,7,263,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Summer,2020-09-12,20200912,3,37,2020,2020/09,2020/Sep,2020/Q3
263,2020-09-20,20200920,Sunday,Sun,20,1,264,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Fall,2020-09-20,20200920,4,38,2020,2020/09,2020/Sep,2020/Q3
264,2020-09-21,20200921,Monday,Mon,21,2,265,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
265,2020-09-22,20200922,Tuesday,Tue,22,3,266,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
266,2020-09-23,20200923,Wednesday,Wed,23,4,267,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
267,2020-09-24,20200924,Thursday,Thu,24,5,268,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
268,2020-09-25,20200925,Friday,Fri,25,6,269,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
269,2020-09-26,20200926,Saturday,Sat,26,7,270,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Fall,2020-09-19,20200919,4,38,2020,2020/09,2020/Sep,2020/Q3
270,2020-09-27,20200927,Sunday,Sun,27,1,271,NoHoliday,False,False,True,Sep,False,September,9,3,Third,Q3,Fall,2020-09-27,20200927,5,39,2020,2020/09,2020/Sep,2020/Q3
271,2020-09-28,20200928,Monday,Mon,28,2,272,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-26,20200926,5,39,2020,2020/09,2020/Sep,2020/Q3
272,2020-09-29,20200929,Tuesday,Tue,29,3,273,NoHoliday,False,True,False,Sep,False,September,9,3,Third,Q3,Fall,2020-09-26,20200926,5,39,2020,2020/09,2020/Sep,2020/Q3
273,2020-09-30,20200930,Wednesday,Wed,30,4,274,NoHoliday,False,True,False,Sep,True,September,9,3,Third,Q3,Fall,2020-09-26,20200926,5,39,2020,2020/09,2020/Sep,2020/Q3
274,2020-10-01,20201001,Thursday,Thu,1,5,275,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-09-26,20200926,1,39,2020,2020/10,2020/Oct,2020/Q4
275,2020-10-02,20201002,Friday,Fri,2,6,276,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-09-26,20200926,1,39,2020,2020/10,2020/Oct,2020/Q4
276,2020-10-03,20201003,Saturday,Sat,3,7,277,NoHoliday,False,False,True,Oct,False,October,10,4,Fourth,Q4,Fall,2020-09-26,20200926,1,39,2020,2020/10,2020/Oct,2020/Q4
277,2020-10-04,20201004,Sunday,Sun,4,1,278,NoHoliday,False,False,True,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-04,20201004,2,40,2020,2020/10,2020/Oct,2020/Q4
