mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
35,Ontario,Ottawa Division,-25.0,-6.0,20.0,-60.0,-50.0,18.0
36,Ontario,Ottawa Division,-26.0,-9.0,-2.0,-65.0,-56.0,20.0
37,Ontario,Ottawa Division,-26.0,-3.0,-14.0,-62.0,-50.0,19.0
38,Ontario,Ottawa Division,-30.0,-10.0,-12.0,-60.0,-48.0,20.0
39,Ontario,Ottawa Division,-20.0,-1.0,37.0,-48.0,-4.0,6.0
40,Ontario,Ottawa Division,-26.0,-8.0,-30.0,-56.0,-6.0,7.0
41,Ontario,Ottawa Division,-31.0,-12.0,-24.0,-66.0,-54.0,19.0
42,Ontario,Ottawa Division,-31.0,-12.0,-31.0,-65.0,-50.0,20.0
43,Ontario,Ottawa Division,-32.0,-12.0,-30.0,-67.0,-51.0,20.0
44,Ontario,Ottawa Division,-27.0,-6.0,-18.0,-64.0,-50.0,19.0
45,Ontario,Ottawa Division,-29.0,-8.0,9.0,-61.0,-47.0,19.0
46,Ontario,Ottawa Division,-19.0,1.0,24.0,-53.0,-3.0,7.0
47,Ontario,Ottawa Division,-22.0,-1.0,-9.0,-57.0,-4.0,7.0
48,Ontario,Ottawa Division,-33.0,-18.0,-26.0,-66.0,-54.0,20.0
49,Ontario,Ottawa Division,-29.0,-10.0,-33.0,-66.0,-50.0,19.0
50,Ontario,Ottawa Division,-39.0,-22.0,-36.0,-68.0,-52.0,21.0
51,Ontario,Ottawa Division,-25.0,-5.0,-37.0,-65.0,-50.0,20.0
52,Ontario,Ottawa Division,-25.0,-5.0,-21.0,-59.0,-46.0,19.0
53,Ontario,Ottawa Division,-16.0,4.0,7.0,-48.0,-1.0,7.0
54,Ontario,Ottawa Division,-14.0,6.0,40.0,-51.0,1.0,5.0
55,Ontario,Ottawa Division,-28.0,-11.0,-38.0,-67.0,-53.0,19.0
56,Ontario,Ottawa Division,-28.0,-4.0,-39.0,-66.0,-50.0,19.0
57,Ontario,Ottawa Division,-31.0,-8.0,-31.0,-68.0,-50.0,20.0
58,Ontario,Ottawa Division,-26.0,-2.0,-29.0,-64.0,-49.0,19.0
59,Ontario,Ottawa Division,-32.0,-9.0,-28.0,-63.0,-46.0,20.0
60,Ontario,Ottawa Division,-20.0,2.0,-6.0,-53.0,-3.0,7.0
61,Ontario,Ottawa Division,-19.0,3.0,10.0,-57.0,0.0,6.0
62,Ontario,Ottawa Division,-28.0,-7.0,-21.0,-67.0,-53.0,19.0
63,Ontario,Ottawa Division,-29.0,-8.0,-31.0,-67.0,-49.0,19.0
64,Ontario,Ottawa Division,-34.0,-11.0,-28.0,-68.0,-50.0,20.0
65,Ontario,Ottawa Division,-25.0,0.0,-29.0,-64.0,-49.0,19.0
66,Ontario,Ottawa Division,-27.0,-1.0,-14.0,-62.0,-45.0,19.0
67,Ontario,Ottawa Division,-27.0,-3.0,-25.0,-55.0,-6.0,9.0
68,Ontario,Ottawa Division,-20.0,2.0,-9.0,-58.0,-1.0,6.0
69,Ontario,Ottawa Division,-27.0,-4.0,-26.0,-68.0,-53.0,19.0
