weather_Key,city,daily_low_temperature,daily_high_temperature,precipitation
0,Toronto,7.8,19.5,0.0
1,Toronto,9.2,18.5,2.6
2,Toronto,5.3,16.5,0.8
3,Toronto,2.8,18.3,0.0
4,Toronto,7.8,22.1,0.4
5,Toronto,5.4,11.7,0.0
6,Toronto,7.6,16.4,0.2
7,Toronto,10.1,18.0,7.8
8,Toronto,6.3,17.4,0.0
9,Toronto,6.9,17.2,11.6
10,Toronto,2.6,12.2,0.0
11,Toronto,2.6,13.5,0.0
12,Toronto,6.3,14.2,2.0
13,Toronto,5.9,8.1,8.6
14,Toronto,6.0,11.5,1.2
15,Toronto,7.1,17.2,5.0
16,Toronto,8.5,12.3,2.0
17,Toronto,8.2,24.7,2.6
18,Toronto,2.6,8.4,0.0
19,Toronto,1.8,6.4,0.0
20,Toronto,2.4,8.1,1.6
21,Toronto,1.5,7.3,5.2
22,Toronto,2.4,11.8,0.0
23,Toronto,2.1,10.8,1.6
24,Toronto,-4.3,2.3,0.0
25,Toronto,-5.4,6.7,0.0
26,Toronto,0.0,11.2,3.6
27,Toronto,-2.1,7.2,0.0
28,Toronto,3.8,7.1,0.0
29,Toronto,1.8,19.6,0.0
30,Toronto,11.4,19.2,0.0
31,Toronto,9.1,20.8,0.0
32,Toronto,9.4,21.0,0.0
33,Toronto,6.2,20.1,0.0
34,Toronto,6.9,19.5,0.0
35,Toronto,7.8,24.3,0.0
36,Toronto,5.5,18.2,0.6
37,Toronto,3.7,9.8,0.0
38,Toronto,3.3,9.0,0.0
39,Toronto,0.1,7.6,0.0
40,Toronto,3.1,13.2,10.4
41,Toronto,1.1,4.1,0.2
42,Toronto,-5.4,3.0,0.6
43,Toronto,-6.2,1.5,0.0
44,Toronto,1.5,15.0,0.0
45,Toronto,6.1,17.8,0.0
46,Toronto,0.3,6.0,0.0
47,Toronto,-1.0,1.9,19.4
48,Toronto,-4.2,3.5,0.0
49,Toronto,-1.7,2.1,1.0
50,Toronto,1.3,8.3,6.8
51,Toronto,6.6,11.9,1.2
52,Toronto,4.9,7.8,0.0
53,Toronto,1.8,7.0,0.0
54,Toronto,0.7,10.8,0.0
55,Toronto,-0.9,5.5,22.0
56,Toronto,-2.2,-0.1,8.4
57,Toronto,-1.4,3.8,1.0
58,Toronto,-1.5,4.1,0.0
59,Toronto,-0.2,3.4,3.6
60,Toronto,-4.5,1.7,0.0
61,Toronto,-6.3,0.7,0.0
62,Toronto,-6.3,1.0,0.0
63,Toronto,-6.7,1.9,0.0
64,Toronto,0.1,4.4,4.0
65,Toronto,0.9,5.9,0.0
66,Toronto,0.8,9.4,0.0
67,Toronto,3.4,9.1,8.0
68,Toronto,-0.6,5.1,0.0
69,Toronto,-2.5,1.7,0.0
70,Toronto,-7.7,-2.4,0.2
71,Toronto,-8.7,-5.6,1.4
72,Toronto,-8.0,-2.7,0.6
73,Toronto,-9.7,-1.3,0.0
74,Toronto,-2.0,2.5,2.2
75,Toronto,-0.4,5.0,1.2
